,claim,exp,label
12,Flipped LDH indicating Myocardial Infarction is represented by LDH-1> LDH -2.,"When LDH-1 is greater than LDH-2, it is referred to as flipped LDH and is indicative of MI. LDH-1 isoenzyme is found primarily in hea muscle and is lesser in concentration than the LDH-2 Isoenzyme which is primarily found in RBC. When the concentration of LDH-1 is observed to be greater than LDH2. It is referred to as flipped LDH and is indicative of Myocardial infarction. LDH has five isoenzymes: LDH-1 LDH-1 is found primarily in hea muscle 17% to 27% LDH-2 LDH-2 is primarily found in Red blood cells 27% to 37% LDH-3 LDH-3 is highest in the lung 18% to 25% LDH-4 LDH-4 is highest in the kidney, placenta, and pancreas 3% to 8% LDH-5 LDH-5 is highest in the liver and skeletal muscle 0% to 5% The LDH test helps determine the location of tissue damage. Thus in Normal ratios LDH-1 is less than LDH-2 and LDH-5 is less than LDH-4. When LDH-1 is greater than LDH-2: It is referred to as flipped LDH. It is indicative of MI. When your LDH-5 is greater than your LDH-4: It could mean damage to the liver or liver disease. This includes cirrhosis and hepatitis. Ref: Harrisons 19th edition",sup
13,Receptor activation is not a component of transpo system.,"Functions: Transpo Systems An essential role of biomembranes is to allow movement of all compounds necessary for the normal function of a cell across the membrane barrier. These compounds include a vast array of substances like sugars, amino acids, fatty acids, steroids, cations and anions to mention a few. These compounds must enter or leave the cells in an orderly manner for normal functioning of the cell. A. 1. Ion Channels Ion channels are transmembrane channels, pore-like structures composed of proteins. Specific channels for Na+, K+, Ca++, and Cl- have been identified. Cation conductive channels are negatively charged within the channel and have an average diameter of about 5 to 8 nm. All ion channels are basically made up of transmembrane subunits that come together to form a central pore through which ions pass selectively. All channels have gates and are controlled by opening and closing. Types of Gates Two types of gated channels. They are a. Ligand-gated channels: In this, a specific molecule binds to a receptor and opens the channel. Example: Acetylcholine receptor is present in the postsynaptic membrane. It is a complex of five subunits, having a binding site for acetylcholine. Acetylcholine released from the presynaptic region binds with the binding site of the postsynaptic region, which triggers the opening of the channel and influx of Na+. b. Voltage-gated channels: These channels open or close in response to changes in membrane potential. Some propeies of ion channels * Composed of transmembrane protein subunits. * Highly selective. * Well regulated by the presence of ""gates"". * Two main types of gates: Ligand-gated and voltage-gated. * Activities are affected by ceain drugs. * Mutations of genes encoding transmembrane proteins can cause specific diseases. 2. Ionophores Ceain microorganisms can synthesize small organic molecules, called ionophores, which function as shuttles for the movement of ions across the membrane. Structure: These ionophores contain hydrophilic centres that bind specific ions and are surrounded by peripheral hydrophobic regions. Types: Two types: (a) Mobile ion carriers: Like valinomycin (Refer uncouplers of oxidative phosphorylation). (b) Channel formers: Like gramicidin. 3. Water Channels (Aquaporins) In ceain cells, e.g. in red blood cells, and cells of the collecting ductules of the kidney, the movement of water by simple diffusion is enhanced by movements of water through water channels, composed of tetrameric transmembrane proteins called aquaporins. About five distinct types of aquaporins have been recognised. CLINICAL ASPECT Recently mutations in the gene encoding AP-2 (Aquaporin 2) protein, have been shown to be the cause of one type of nephrogenic diabetes insipidus. 4. Gap Junction Ceain cells develop specialized regions on their membranes for intercellular communications which are in close proximity. Function: They mediate and regulate the passage of ions and small molecules upto 1000 to 2000 mol wt, through a narrow hydrophilic core connecting the cytosol of adjacent cells. Structure: They are primarily composed of protein, called connexon which contains four membrane-spanning a-helices. the mitochondrial membrane also has paicularly energy coupling mechanism.Ref: MN Chatterjea Textbook of Medical Biochemistry, 8th edition",sup
14,Asymmetric tonic neck reflex (ATNR) disappears at 6 months.,"Asymmetric tonic reflex (ATNR) diappears by 6-7 months postnatally The tonic neck reflex is produced by manually rotating the infant&;s head to 1 side and observing for the characteristic fencing posture (extension of the arm on the side to which the face is rotated and flexion of the conralateral arm) An obligatory tonic neck response, in which the infant becomes ""stuck"" in the fencing posture, is always abnormal and implies a CNS disorder Ref: Nelson 21st edition pgno: 3059",sup
15,Vestibulo-Ocular Reflex Mediated by Flocculonodular Lobe.,Ans:A (Flocculonodular Lobe) Ref: Pal GK. Cerbellurn. In: Textbook of Medical Physiology. Ahuja Publishing House. 2007: 116: 871.Explanation:Functional Division of CerebellumVestibulo cerebellum/Arch-cerebellum (Flocculonodular lobe)Connections with vestibular apparatusConcerned with equilibrium and learning induced changes in vesiihulo-occular reflexSpino cerebellumVermis - controls muscle movements of axial bodyIntermediate zone - controls muscle movements of limbsCerbrocerbellum (Ponto cerebellum/Neo cerbellurn) Overall planning programming of motor activities,sup
16,A patient on amiodarone is diagnosed to have cornea verticillata should be management.,"Cornea Verticillata

This is a whorl-like opacity in the corneal epithelium seen in patients on long-term treatment with medication such as amiodarone, chloroquine, phenothiazines and indomethacin.
It is also seen in patients with Fabry disease and its carrier state. The condition is generally asymptomatic, harmless and reversible on stopping the drug.
The whorl-like pattern shows the direction of migration of corneal epithelial cells. Occasionally the condition had been known to cause glare and surface discomfort which response to topical lubricants.",sup
17,Candle-wax spots in the retina are present in Sarcoidosis.,"(A) Sarcoidosis # OCULAR MANIFESTATIONS OF SARCOIDOSIS:> Anterior segment: Conjunctival involvement has been reported in patients with ocular sarcoidosis.> Sarcoidosis granulomas are solitary, yellow ""millet-seed"" nodules.> Anterior uveitis occurs in 22%- 70% of patients with ocular sarcoidosis, and is usually granulomatous & chronic.> Iris nodules have been reported in up to 12.5% of patients with sarcoidosis associated uveitis.> Exacerbations of granulomatous uveitis are often associated with an appearance of fresh iris or fundus nodules.> Posterior synechiae, cataract and glaucoma are common complications.> Corneal band keratopathy develops in a few patients and is usually associated with hypercalcemia.> Posterior segment: The most common manifestations at the posterior segment are vitritis, intermediate uveitis, panuveitis, posterior uveitis, retinal vasculitis & optic nerve involvement. Other manifestations include choroidal nodules & exudative retinal detachment.> Overall, patients with chronic posterior uveitis and panuveitis have significantly more complications than do patients with anterior uveitis.> ""Candle wax drippings"" and ""punched-out"" lesions can be seen in patients with uveitis secondary to sarcoidosis.",sup
18,Primary health care was proposed in 1978 at Alma ata.,"Answer: A. Alma ata. (Ref Park's Textbook of PSM 22nd/Pg.832)The new approach to health care came into existence in 1978 following an international conference at Alma Ata (USSR).The Alma-Ata conference defines the primary health care as follows: Primary health care is essential health care made universally accessible to individuals and acceptable to them, through their full participation and at a cost the community and the country can afford.Millennium Development Summit was held in New York in 2000 where MDG are formulated.World Health Assembly is held in Geneva, which is a head quarter of WHO.Note: The term ""comprehensive health care"" (womb to tomb) was first used by Bhore committee in 1946.",sup
19,Supraventricular crest lies between Pulmonary orifice and atrioventricular orifice.,"Ans. is 'a' i.e., Pulmonary orifice and atrioventricular orifice Interior of right ventricle* It is anteroinferior chamber and projects to the left of right atrium. It is in contact with the sternum.* It is divided into -i) Rough inflowing part (ventricle proper)# It is developed from right half of primitive ventricle.# Its interior is rough due to the presence of muscular ridges known as trabeculae carneae, which are more prominent in apical region.# Trabeculae carneae are of 3 types: -1. Ridges - Linear elevations.Supraventricular crest - a ridge present between the pulmonary and atrioventricular orifices, extends downwards in the posterior wall of the infundibulum.2. Bridges -'Muscular elevations with fixed ends on ventricular walls, the center being free.Septomarginal trabecula: It is a specialized bridge which extends from the right of ventricularseptum to the base of anterior papillary muscle. It contains the right branch of atrioventricular bundle.3. Papillary muscles are conical projections of muscle fiber bundles. Their base is attached to the ventricular wall and the apex is attached to the chordae tendinae, which are further attached to the cusps of atrioventricular (AV) valves. There are three papillary muscles in the right and two in the left ventricle. They regulate closure of atrioventricular valves.ii) Smooth outflowing part (infundibulum or conus arteriosus)# Smooth outflowing part develops from mid portion of bulbus cordis and surrounds pulmonary valveSupraventricular crest (crista supraventriculars) or infundibuloventricular crest separates tricuspid (AV) orifice and pulmonary orifice, i.e. inlet and outlet parts.",sup
20,Proposed guideline value for Radioactivity in drinking water is Gross a activity 0.1 Bq/L and Gross b activity 1.0 Bq /L.,Key guidelines aspects of WHO recommended drinking water quality: Colour <15 true colour units (TCU) Turbidity <1 nephlometric turbidity units (NTU) pH: 6.5-8.5 Total dissolved solids (TDS) <500 mg/Litre Zero pathogenic microorganisms Zero infectious viruses Absence of pathogenic protozoa and infective stages of helminthes Fluoride <1.0 ppm (0.5-0.8 ppm: Optimum level) Nitrates <45 mg/Litre Nitrites <3 mg/Litre Gross alpha radiological activity <0.5 Bq/Litre (new guidelines -WHO) Gross Beta radiological activity <1.0 Bq/Litre (new guidelines-WHO) Ref: Park 25th edition Pgno: 762,sup
23,A obese female having hirsutism on laboratory investigation has high level of LH and androgens likely cause is PCOS.,"Ans. is 'a' i.e., PCOS o The clinical and laboratory features of the patient described in the question match with those of PCOS as depicted in the table. So the most appropriate answer is PCOS.Clinical features of polycystic ovarian diseaseClinical featureHannonalSequelaeo Young womano | E2. levelo Diabaetes (15%)o Central obesityo | FSH | LH > 10 IU/mlo CVS disorder# SMI > 30kg/cm2o | FSK/LH ratioo Lipidaemia# Waist line > 35o | Androgenso Hypertensiono Gligomenorrhoea, amenorrhoeao Testosterone,epiandrostenedione. |dehydropepiandrosterone |o Endometrial cancero Infertility (20%)o Breast cancero Hirsutismo Premature ovariano Acanthosis nigra due to insulin resistance, Thick pigmented skin over the nape of neck, inner thigh and axillao 17-alpha-hvdroxy progesterone> 800 ng.'dLfailure following surgeryo Testosterone > 2 ng/mlo Most androgens from ovaryo | fasting insulin > l0mlu/Lo Protactin |o Sex hormone binding globulin (SHBG)o | E2/oestrone (E1) ratioo F glucose,'insulin ratio <4-5 (normal 2-4-4-5)",sup
24,Retinitis pigmentosa is not a premalignant condition.,"Ans. A: Retinitis pigmentosaGIT premalignant conditionsOf the four major primary small-bowel tumors (adenocarcinomas, lymphomas, carcinoid, and leiomyosarcomas), adenocarcinomas and lymphomas are associated with diseases that seem to increase the risk of developing these malignancies.Immunoproliferative small intestinal disease and celiac disease, are thought to predispose patients to the development of primary lymphoma.Increased risk is also associated with conditions, such as immunodeficiency syndromes, nodular lymphoid hyperplasia, Crohn's disease, the gastrointestinal polyposis syndromes, hereditary nonpolyposis colon cancer, neurofibromatosis, long-standing ileostomy, and urinary diversion procedures.Patient with long standing ulcerative colitis are at risk of developing colonic epithelial dysplaia and carcinoma.Oral cavity premalignant conditionsMany oral SCCs develop from premalignant conditions of the oral cavity.A wide array of conditions have been implicated in the development of oral cancer, including leukoplakia, erythroplakia, palatal lesion of reverse cigar smoking, oral lichen planus, oral submucous fibrosis, discoid lupus erythematosus, and hereditary disorders such as dyskeratosis congenital and epidermolysis bullosaOther pre-malignant conditions include actinic keratosis, Barrett's esophagus and cervical dysplasia.",sup
25,Finger print bureau was first established in the following country : India.,"Dactylography or fingerprint system or dermatoglyphics or Galton system was first used in India in 1858, by Sir William Herschel in Bengal. Sir Francis Galton systematised this in 1892. Finger print bureau was first established in Kolkata.Fingerprints are impressions of patterns formed by the papillary or epidermal ridges of the fingeips. Ref: The essentials of forensic medicine and toxicology by Dr K S Narayan Reddy, 27th edition, Page 76.",sup
26,A young girl presents with abdominal pain and a recent change in bowel habit with passage of mucus in stool and symptoms are increased with stress. The most likely diagnosis is Irritable bowel syndrome.,"Childhood Chronic ill health in childhood or adolescent IBD may result in growth failure, metabolic bone disease and delayed pubey. Loss of schooling and social contact, as well as frequent hospitalisation, can have impoant psychosocial consequences.Treatment is similar to that described for adults and may require glucocoicoids, immunosuppressive drugs, biological agents and surgery. Monitoring of height, weight and sexual development is crucial. Children with IBD should be managed by specialised paediatric gastroenterologists and transitioned to adult care in dedicated clinics . Pregnancy A women's ability to become pregnant is adversely affected by active IBD. Pre-conceptual counselling should focus on optimising disease control. During pregnancy, the rule of thirds applies: roughly one-third of women improve, one-third get worse and one-third remain stable with active disease. In the post-paum period, these changes sometimes reverse spontaneously. Drug therapy, including aminosalicylates, glucocoicoids Delayed growth and pubeal development: chronic active inflammation, malabsorption, malnutrition and long-term glucocoicoids contribute to sho stature and delayed development, with physical and psychological consequences. * Metabolic bone disease: more common with chronic disease beginning in childhood, resulting from chronic inflammation, dietary deficiency and malabsorption of calcium and vitamin D. * Drug side-effects and adherence issues: young people are more likely to require azathioprine or biological therapy than adults. Poor adherence to therapy is more common than with adults, as younger patients may feel well, lack self-motivation to adhere and believe that drugs are ineffective or cause side-effects. * Loss of time from education: physical illness, surgery, fatigue in chronic inflammatory bowel disease, privacy and dignity issues, and social isolation may all contribute. * Emotional difficulties: may result from challenges in coping with illness, problems with forming interpersonal relationships, and issues relating to body image or sexual function. Ref Davidson edition23rd pg823",sup
27,Splenunculi are commonly seen in Hilum of spleen.,"A. (Hilum of spleen) (1103-B & L 25th)ACCESSORY SPLEEN (Splenunculi) - probably results from a failure of infusion of splenic embryonic tissues* They are located near the hilum of the spleen in 50% of cases and related to the splenic vessels or behind the tail of pancreas in 30%. The remainder are located in the mesocolon or the splenic ligaments* These are functionally similar to the spleen and while performing splenectomy for blood dyscrasias removal of these accessory spleens are obligatory, otherwise there always remains a chance of recurrence* Axis of spleen enlargement projects into- Greater sac**",sup
28,"Starvation and diabetes mellitus can lead on to ketoacidosis due to the increase in glucagon/insulin ratio, increased CAMP and increased blood glucose.","A i.e. Increase in glucagons/ insulin ratio, increased C- AMP & increased blood sugar.In diabetes little glucose is oxidized as fuel, except by the brain. The rest of tissues burn a large amount of fat, paicularly the liver where the amount of acetyl COA formed from fatty acids exceeds the capacity of the tricarboxylic acid cycle to oxidize it. The excess acetyl COA is conveed to ketone bodies l/t ketonemia, ketonuria & ketoacidosisDiabetics not only have a defect in the tissue utilization of glucose but also appears to be metabolically poised to produce maximum amount of glucose from amino acids (gluconeogenesis) and to prevent glucose from being utilized to to form fat. (fat synthesis)Insulin is decreased & glucagons is increased 1/t Dglucagon/ insulin ratioQ. Glucagon acts elevation in C- AMPQ",sup
29,"A 40-year-old man presents with 5 days of productive cough and fever when Pseudomonas aeruginosa is isolated from a pulmonary abscess. CBC shows an acute effect characterized by marked leukocytosis (50,000/mL) and the differential count reveals shift to left in granulocytes. Leukemoid reaction best describes these hematologic findings.","Circulating levels of leukocytes and their precursors may occasionally reach very high levels (>50,000 WBC/mL). These extreme elevations are sometimes called leukemoid reactions because they are similar to the white cell counts observed in leukemia, from which they must be distinguished. The leukocytosis occurs initially because of accelerated release of granulocytes from the bone marrow (caused by cytokines, including TNF and IL-1) There is a rise in the number of both mature and immature neutrophils in the blood, referred to as a shift to the left. In contrast to bacterial infections, viral infections (including infectious mononucleosis) are characterized by lymphocytosis Parasitic infestations and ceain allergic reactions cause eosinophilia, an increase in the number of circulating eosinophils. Leukopenia is defined as an absolute decrease in the circulating WBC count.",sup
30,"Inhalation of fungal spores can cause primary lung infections of the following organisms, C. immitis.","C. albicans and Candida tropicalis are opportunistic fungi, and as part of the normal flora are not transmitted by inhalation. C. immitis is a dimorphic fungus and inhalation of the spores transmits the infection. Sprothrix is also a dimorphic fungus but its portal of entry is cutaneous. Trychophyton is a dermatophyte and one of the causes of athlete's foot.",sup
31,Most common type of hypospadias is Glandular.,"Ans. A: Glandular Glandular hypospadias is common and does not usually require treatment Hypospadias: The external meatus opens on the underside of the penis or the perineum, and the inferior aspect of the prepuce is poorly developed (hooded prepuce) Meatal stenosis occurs Bifid scrotum 6 - 10 months of age is the best time for surgery",sup
32,Treatment of Choice in Sleep Apnea Syndrome is continuous positive pressure ventilation.,"(A) Continuous positive pressure ventilation# Sleep apnea: Sleep apnea is a sleep disorder characterized by pauses in breathing during sleep. Each episode, called an apnea, lasts long enough so that one or more breaths are missed, and such episodes occur repeatedly throughout sleep.> The standard definition of any apneic event includes a minimum 10 second interval between breaths, with either a neurological arousal (a 3-second or greater shift in EEG frequency, measured at C3, C4, O1, or O2), a blood oxygen desaturation of 3-4deg/: or greater, or both arousal and desaturation. Sleep apnea is diagnosed with an overnight sleep test called a polysomnogram, or a ""Sleep Study"".> Treatment: The most common treatment and arguably the most consistently effective treatment for sleep apnea is the use of a continuous positive airway pressure (CPAP) device, which 'splints' the patient's airway open during sleep by means of a flow of pressurized air into the throat. However the CPAP machine only assists inhaling whereas a BiPAP machine assists with both inhaling and exhaling, and is used in more severe cases. Medications like Acetazolamide lower blood pH and encourage respiration. Low doses of oxygen are also used as a treatment for hypoxia but are discouraged due to side effects.",sup
33,"Marfans Syndrome affecting eyes, skeletal system, and the cardiovascular system is caued by the mutation in the gene Fibrillin 1.","Marfan Syndrome Is Caused by Mutations in the Gene for Fibrillin-1. It is inherited as an autosomal dominant trait. It affects the eyes (eg, causing dislocation of the lens, known as ectopia lentis), the skeletal system (most patients are tall and exhibit long digits and hyperextensibility of the joints), and the cardiovascular system (eg, causing weakness of the aoic media, leading to dilation of the ascending aoa). Abraham Lincoln may have had this condition. Most cases are caused by mutations in the gene (on chromosome 15) for fibrillin-1.Mutations in the fibrillin-1 gene have also been identified as the cause of acromicric dysplasia and geleophysic dysplasia, which are characterized by sho stature, skin thickening, and stiff joints. Congenital contractural arachnodactyly is associated with a mutation in the gene for fibrillin-2.Ref: Harper&;s Biochemistry; 30th edition; Chapter 50; The Extracellular Matrix",sup
34,"A 50 years old lady presented with lump in the left breast, which has developed suddenly in weeks, has no associated family history. On examination, the lump is well circumscribed, fluctuant, 1.5 cm oval in shape. Most likely diagnosis is breast cyst.","Fibroadenoma - it occurs in 2nd to 3rd decade of life Galactocele - it occurs in 3rd to 4th decade of life. Breast cancer - there is no associated family history and lump has developed suddenly hence breast cancer is ruled out. Breast cyst - it occurs in 5th to 6th decade of life. Examination revealed fluctuant lesion which point towards breast cyst. - Often multiple, may be bilateral & can mimic malignancy. Typically present suddenly - Diagnosis can be confirmed by aspiration and / or ultrasound.",sup
35,Heamorrhagic external otitis media is caused by Influenza.,"Otitis externa haemorrhagica It is characterized by for mation of haemorrhagic bullae on the tympanic membrane and deep meatus. It is probably viral in origin and may be seen in influenza epidemics. The condition causes severe pain in the ear and blood-stained discharge when the bullae rupture. Treatment: with analgesics is directed to give relief from pain. Antibiotics are given for secondary infection of the ear canal, or middle ear if the bulla has ruptured into the middle ear. Ref:- Dhingra; pg num:-52",sup
36,Rosiglitazone does not cause Insulin release.,"Ans. is 'a' i.e., Rosiglitazone o Oral hypoglycemic drugs may be divided into two groups. 1. Group 1 These drugs reduce plasma glucose by stimulating insulin production, therefore called insulin secretogogues. Hypoglycemia is a well known side effect. Examples are: i) Sulfonylureas: first generation (chlorpropamide, tobutamide); second generation (Glimipiride, glyburide, glipizide, gliclazide). ii) Megalitinnide/D-phenylalanine analogues: Nateglinide, Rapaglinide. 2. Group 2 These drugs reduce blood glucose without stimulating insulin production, therefore are insulin nonsecretogogues. These durgs do not cuase hypoglycemia when used alone and can cause hypoglycemia, only when used with other oral hypoglycemics. Examples are: i) Biguanides: Metformin, Phenformin ii) Thiazolidinediones: Rosiglitazone, Pioglitazone, Troglitazone. iii) alpha-glucosidase inhibitors: Acarbose, miglital.",sup
37,Index finger infection spreads to Thenar space.,"Ans. is 'a' i.e., Thenar space o Thenar space communicates w'ith the index finger while the mid palmar space communicates with the middle, ring and little fingers.o Thus infection of index finger leads to thenar space infection while the infection of middle, ring or little finger leads to mid palmar space infection.FeaturesMidpalmar spaceThenar space1. ShapeTriangular.Triangular2. SituationUnder the inner half of the hollow of the palm.Under the outer half of the hollow of the3. ExtentProximalDistalDistal margin of the flexor retinaculum.Distal palmar crease.Distal margin of the flexor retinaculum.Proximal transverse palmar crease.4, CommunicationsProximalDistalForearm space.Fascial sheaths of the 3rd and 4th lumbricals; occasionally 2nd.Fascial sheath of th first lumbrical, occasionally 2nd.5. BoundariesAnteriorPosteriori) Flexor tendons of 3rd, 4th. and 5th fingersii) 2nd, 3rd and 4th lumbricalsiii) Palmar aponeurosisFascia covering interossei and metacarpals.Intermediate palmar septumi) Short muscles of thumb.ii) Flexor tendons of the index finger.iii) First Lumbricalsiv) Palmar aponeurosis.Transverse head of adductor pollicis.Laterali) Tendon of flexor pollicis longus with radial bursa.ii) Lateral palmar septum.Intermediate palmar septum.MedialMedial palmar septum6. DrainageIncision in either the 3rd or 4th web space.Incision in the first web. posteriorly.",sup
